"provinsi","kepadatan2019","jumlahpenduduk2020","rerataterkonfirmasi03sd11","reratasembuh03sd11","reratameninggal03sd11","totalterkonfirmasi03sd11","totalsembuh03sd11","totalmeninggal03sd11","rasioterkonfrimasi","rasiosembuh","rasiomeninggal"
"Aceh",93,5388100,45499.5556,26577.4444,1655.6667,409496,239197,14901,13.1579,22.5258,361.5932
"Bali",750,4414400,101577.7778,85267.1111,2621.3333,914200,767404,23592,4.8287,5.7524,187.1143
"Banten",1338,12895300,72602.1111,49701.7778,2705.0000,653419,447316,24345,19.7351,28.8282,529.6899
"Bengkulu",100,1994300,8126.1111,5434.7778,461.2222,73135,48913,4151,27.2687,40.7724,480.4384
"Daerah Istimewa Yogyakarta",1227,3919200,29471.5556,22154.3333,794.1111,265244,199389,7147,14.7758,19.6560,548.3699
"DKI Jakarta",15900,10576400,853818.7778,659641.8889,24415.5556,7684369,5936777,219740,1.3764,1.7815,48.1314
"Gorontalo",107,1186300,29404.0000,24930.8889,841.5556,264636,224378,7574,4.4828,5.2871,156.6279
"Jambi",72,3604200,7897.5556,3887.3333,137.4444,71078,34986,1237,50.7077,103.0184,2913.6621
"Jawa Barat",1394,49565200,266567.4444,163016.5556,6543.2222,2399107,1467149,58889,20.6599,33.7833,841.6716
"Jawa Tengah",1058,34738200,274966.3333,190955.2222,16019.3333,2474697,1718597,144174,14.0374,20.2131,240.9464
"Jawa Timur",831,39955900,543241.4444,410779.4444,39719.1111,4889173,3697015,357472,8.1723,10.8076,111.7735
"Kalimantan Barat",34,5104900,13794.0000,10912.3333,148.6667,124146,98211,1338,41.1201,51.9789,3815.3214
"Kalimantan Selatan",110,4268600,130423.5556,94600.0000,5773.8889,1173812,851400,51965,3.6365,5.0136,82.1438
"Kalimantan Tengah",18,2686300,44015.1111,33054.7778,1796.7778,396136,297493,16171,6.7813,9.0298,166.1184
"Kalimantan Timur",29,3664700,93873.4444,66516.6667,3315.4444,844861,598650,29839,4.3376,6.1216,122.8158
"Kalimantan Utara",10,708400,8099.0000,6449.7778,66.6667,72891,58048,600,9.7186,12.2037,1180.6667
"Kepulauan Bangka Belitung",91,1469800,3501.4444,2905.1111,43.8889,31513,26146,395,46.6411,56.2151,3721.0127
"Kepulauan Riau",267,2309500,25499.0000,17340.3333,785.3333,229491,156063,7068,10.0636,14.7985,326.7544
"Lampung",244,8534800,12087.6667,7783.1111,525.3333,108789,70048,4728,78.4528,121.8422,1805.1607
"Maluku",38,1787100,34524.8889,23176.7778,531.8889,310724,208591,4787,5.7514,8.5675,373.3236
"Maluku Utara",39,1252300,27250.0000,18742.7778,965.7778,245250,168685,8692,5.1062,7.4239,144.0750
"Nusa Tenggara Barat",273,5225900,45277.4444,33166.7778,2428.4444,407497,298501,21856,12.8244,17.5071,239.1060
"Nusa Tenggara Timur",112,5513400,5349.1111,3546.2222,62.3333,48142,31916,561,114.5237,172.7472,9827.8075
"Papua",11,3393100,79730.0000,43713.4444,1027.5556,717570,393421,9248,4.7286,8.6246,366.9010
"Papua Barat",9,986000,25656.3333,18166.6667,391.4444,230907,163500,3523,4.2701,6.0306,279.8751
"Riau",80,6951200,79607.0000,52574.6667,1786.5556,716463,473172,16079,9.7021,14.6906,432.3154
"Sulawesi Barat",82,1378100,8443.1111,5821.6667,129.6667,75988,52395,1167,18.1358,26.3021,1180.8912
"Sulawesi Selatan",189,8888800,200099.2222,147517.8889,5879.5556,1800893,1327661,52916,4.9358,6.6951,167.9794
"Sulawesi Tengah",49,3081700,6844.5556,4916.1111,257.0000,61601,44245,2313,50.0268,69.6508,1332.3390
"Sulawesi Tenggara",71,2703500,34762.2222,24106.5556,628.8889,312860,216959,5660,8.6412,12.4609,477.6502
"Sulawesi Utara",181,2512900,56400.3333,39283.7778,2471.5556,507603,353554,22244,4.9505,7.1075,112.9698
"Sumatera Barat",130,5545700,80633.5556,50465.8889,1740.6667,725702,454193,15666,7.6418,12.2100,353.9959
"Sumatera Selatan",92,8600800,79843.5556,54079.3333,4213.8889,718592,486714,37925,11.9690,17.6712,226.7844
"Sumatera Utara",200,14798400,116740.2222,75666.6667,5174.5556,1050662,681000,46571,14.0848,21.7304,317.7600
