"provinsi","kepadatan2019","jumlahpenduduk2020","rerataaktif03sd11","rerataterkonfirmasi03sd11","reratasembuh03sd11","reratameninggal03sd11","rasioaktif","rasioterkonfrimasi","rasiosembuh","rasiomeninggal"
"Aceh",93,5388100,17266.7778,45499.5556,26577.4444,1655.6667,34.6722,13.1579,22.5258,361.5932
"Bali",750,4414400,13687.0000,101577.7778,85267.1111,2621.3333,35.8361,4.8287,5.7524,187.1143
"Banten",1338,12895300,20126.0000,72602.1111,49701.7778,2705.0000,71.1920,19.7351,28.8282,529.6899
"Bengkulu",100,1994300,2231.6667,8126.1111,5434.7778,461.2222,99.2930,27.2687,40.7724,480.4384
"Daerah Istimewa Yogyakarta",1227,3919200,6534.4444,29471.5556,22154.3333,794.1111,66.6417,14.7758,19.6560,548.3699
"DKI Jakarta",15900,10576400,169524.7778,853818.7778,659641.8889,24415.5556,6.9321,1.3764,1.7815,48.1314
"Gorontalo",107,1186300,3613.1111,29404.0000,24930.8889,841.5556,36.4813,4.4828,5.2871,156.6279
"Jambi",72,3604200,3868.4444,7897.5556,3887.3333,137.4444,103.5214,50.7077,103.0184,2913.6621
"Jawa Barat",1394,49565200,96827.1111,266567.4444,163016.5556,6543.2222,56.8771,20.6599,33.7833,841.6716
"Jawa Tengah",1058,34738200,67909.6667,274966.3333,190955.2222,16019.3333,56.8373,14.0374,20.2131,240.9464
"Jawa Timur",831,39955900,91840.7778,543241.4444,410779.4444,39719.1111,48.3396,8.1723,10.8076,111.7735
"Kalimantan Barat",34,5104900,2717.6667,13794.0000,10912.3333,148.6667,208.7125,41.1201,51.9789,3815.3214
"Kalimantan Selatan",110,4268600,29918.5556,130423.5556,94600.0000,5773.8889,15.8527,3.6365,5.0136,82.1438
"Kalimantan Tengah",18,2686300,9145.1111,44015.1111,33054.7778,1796.7778,32.6380,6.7813,9.0298,166.1184
"Kalimantan Timur",29,3664700,24068.2222,93873.4444,66516.6667,3315.4444,16.9181,4.3376,6.1216,122.8158
"Kalimantan Utara",10,708400,1592.1111,8099.0000,6449.7778,66.6667,49.4382,9.7186,12.2037,1180.6667
"Kepulauan Bangka Belitung",91,1469800,551.4444,3501.4444,2905.1111,43.8889,296.1515,46.6411,56.2151,3721.0127
"Kepulauan Riau",267,2309500,7357.8889,25499.0000,17340.3333,785.3333,34.8756,10.0636,14.7985,326.7544
"Lampung",244,8534800,3765.4444,12087.6667,7783.1111,525.3333,251.8457,78.4528,121.8422,1805.1607
"Maluku",38,1787100,10767.6667,34524.8889,23176.7778,531.8889,18.4410,5.7514,8.5675,373.3236
"Maluku Utara",39,1252300,7530.6667,27250.0000,18742.7778,965.7778,18.4770,5.1062,7.4239,144.0750
"Nusa Tenggara Barat",273,5225900,9624.6667,45277.4444,33166.7778,2428.4444,60.3299,12.8244,17.5071,239.1060
"Nusa Tenggara Timur",112,5513400,1724.6667,5349.1111,3546.2222,62.3333,355.1991,114.5237,172.7472,9827.8075
"Papua",11,3393100,34880.6667,79730.0000,43713.4444,1027.5556,10.8086,4.7286,8.6246,366.9010
"Papua Barat",9,986000,7089.3333,25656.3333,18166.6667,391.4444,15.4536,4.2701,6.0306,279.8751
"Riau",80,6951200,25246.6667,79607.0000,52574.6667,1786.5556,30.5924,9.7021,14.6906,432.3154
"Sulawesi Barat",82,1378100,2487.8889,8443.1111,5821.6667,129.6667,61.5471,18.1358,26.3021,1180.8912
"Sulawesi Selatan",189,8888800,46570.2222,200099.2222,147517.8889,5879.5556,21.2076,4.9358,6.6951,167.9794
"Sulawesi Tengah",49,3081700,1679.8889,6844.5556,4916.1111,257.0000,203.8296,50.0268,69.6508,1332.3390
"Sulawesi Tenggara",71,2703500,10035.2222,34762.2222,24106.5556,628.8889,29.9335,8.6412,12.4609,477.6502
"Sulawesi Utara",181,2512900,14572.7778,56400.3333,39283.7778,2471.5556,19.1598,4.9505,7.1075,112.9698
"Sumatera Barat",130,5545700,28439.3333,80633.5556,50465.8889,1740.6667,21.6668,7.6418,12.2100,353.9959
"Sumatera Selatan",92,8600800,21400.3333,79843.5556,54079.3333,4213.8889,44.6556,11.9690,17.6712,226.7844
"Sumatera Utara",200,14798400,35869.2222,116740.2222,75666.6667,5174.5556,45.8406,14.0848,21.7304,317.7600
